USA,Adventure,R,No,TRUE
USA,Comedy,R,No,TRUE
USA,Action,PG-13,Yes,FALSE
USA,Action,PG,Yes,TRUE
USA,Adventure,R,No,FALSE
UK,Drama,PG,No,TRUE
UK,Adventure,R,Yes,TRUE
USA,Drama,PG,No,TRUE
USA,Comedy,R,No,FALSE
USA,Drama,PG-13,Yes,TRUE
AUSTRALIA,Adventure,R,No,FALSE
UK,Action,PG-13,Yes,TRUE
USA,Comedy,R,No,FALSE
USA,Action,PG-13,Yes,TRUE
USA,Crime,PG-13,Yes,TRUE
USA,Drama,R,Yes,FALSE
USA,Action,R,No,FALSE
USA,Comedy,R,Yes,FALSE
USA,Action,PG-13,No,FALSE
USA,Action,PG-13,Yes,FALSE
USA,Action,PG,No,FALSE
USA,Comedy,PG-13,No,FALSE
USA,Comedy,PG-13,No,FALSE
USA,Action,UNRATED,Yes,FALSE
USA,Adventure,R,Yes,TRUE
USA,Comedy,PG,No,FALSE
ITALY,Crime,PG,No,TRUE
USA,Action,R,No,FALSE
USA,Action,PG-13,Yes,FALSE
USA,Crime,PG-13,No,TRUE
USA,Comedy,R,Yes,FALSE
USA,Action,PG,Yes,FALSE
FRANCE,Drama,R,No,TRUE
UK,Adventure,NOT SPECIFIED,Yes,TRUE
USA,Drama,PG,No,TRUE
USA,Action,R,No,FALSE
USA,Drama,PG,No,FALSE
USA,Thriller,PG,No,TRUE
USA,Comedy,R,No,FALSE
USA,Horror,PG,No,FALSE
USA,Adventure,R,Yes,FALSE
USA,Animation,PG,No,FALSE
UK,Biography,G,No,TRUE
USA,Action,R,No,FALSE
USA,Horror,PG-13,No,FALSE
USA,Comedy,R,Yes,FALSE
USA,Horror,PG-13,Yes,FALSE
USA,Comedy,PG-13,No,FALSE
USA,Action,PG-13,No,FALSE
USA,Comedy,R,No,FALSE
USA,Biography,R,No,TRUE
USA,Adventure,UNRATED,Yes,FALSE
USA,Comedy,PG,No,TRUE
USA,Animation,PG-13,No,TRUE
USA,Action,G,No,FALSE
USA,Animation,R,No,TRUE
USA,Drama,PG,No,TRUE
USA,Comedy,PG,No,FALSE
USA,Horror,R,No,FALSE
USA,Drama,PG,No,TRUE
UK,Drama,R,No,TRUE
SWEDEN,Drama,PG,No,TRUE
USA,Crime,PG,No,TRUE
USA,Drama,R,No,FALSE
USA,Action,R,No,FALSE
USA,Horror,PG,No,FALSE
USA,Comedy,R,Yes,FALSE
USA,Adventure,R,Yes,FALSE
USA,Action,R,No,FALSE
USA,Drama,R,No,FALSE
USA,Comedy,R,No,FALSE
USA,Comedy,R,No,FALSE
USA,Comedy,PG-13,No,FALSE
USA,Comedy,PG,No,FALSE
USA,Comedy,R,Yes,FALSE
USA,Crime,PG-13,No,FALSE
USA,Comedy,R,No,FALSE
USA,Comedy,PG,No,FALSE
USA,Comedy,R,No,FALSE
USA,Action,R,No,FALSE
USA,Crime,R,No,FALSE
USA,Drama,R,No,TRUE
USA,Action,R,No,FALSE
USA,Comedy,PG-13,No,TRUE
USA,Action,R,No,FALSE
JAPAN,Adventure,R,No,TRUE
USA,Comedy,G,No,FALSE
USA,Sci-Fi,R,Yes,FALSE
USA,Horror,PG-13,No,FALSE
USA,Action,R,Yes,FALSE
USA,Comedy,PG-13,No,FALSE
USA,Comedy,R,No,FALSE
FRANCE,Adventure,R,Yes,FALSE
UK,Animation,PG-13,No,TRUE
USA,Comedy,NOT SPECIFIED,No,FALSE
SPAIN,Drama,PG,No,TRUE
USA,Action,NC-17,No,FALSE
USA,Comedy,R,No,FALSE
UK,Horror,PG-13,No,FALSE
USA,Comedy,R,No,FALSE
UK,Biography,R,No,TRUE
USA,Crime,PG-13,No,FALSE
USA,Animation,PG,No,FALSE
UK,Horror,G,No,FALSE
USA,Action,R,Yes,FALSE
USA,Crime,R,No,FALSE
USA,Comedy,R,No,FALSE
USA,Comedy,PG,No,FALSE
USA,Action,R,No,FALSE
UK,Crime,PG,No,TRUE
USA,Comedy,R,No,FALSE
USA,Action,PG,No,FALSE
UK,Adventure,PG,No,FALSE
USA,Comedy,R,No,FALSE
UK,Biography,R,No,FALSE
FRANCE,Crime,NOT SPECIFIED,No,TRUE
USA,Drama,UNRATED,No,FALSE
USA,Comedy,PG-13,Yes,FALSE
USA,Comedy,PG-13,Yes,FALSE
UK,Comedy,PG,No,FALSE
USA,Drama,PG,No,FALSE
USA,Comedy,R,No,FALSE
USA,Drama,R,No,FALSE
OTHER,Drama,R,No,TRUE
USA,Drama,PG,No,FALSE
OTHER,Drama,R,No,TRUE
UK,Adventure,PG,Yes,FALSE
USA,Drama,PG-13,Yes,FALSE
USA,Comedy,R,No,FALSE
USA,Comedy,PG-13,Yes,FALSE
USA,Horror,PG-13,No,FALSE
USA,Action,R,No,FALSE
CANADA,Comedy,PG,No,FALSE
USA,Action,R,No,FALSE
USA,Musical,R,No,TRUE
USA,Comedy,PG,No,FALSE
OTHER,Drama,PG-13,No,FALSE
